kode,nama,anggaran,satuan_kerja_id,tahun_kinerja
3.28.04,PROGRAM KONSERVASI SUMBER DAYA ALAM HAYATI DAN EKOSISTEMNYA,3258216846,34,2024
3.28.05,PROGRAM PENDIDIKAN DAN PELATIHAN  PENYULUHAN DAN PEMBERDAYAAN MASYARAKAT DI BIDANG KEHUTANAN,150000000,34,2024
3.28.06,PROGRAM PENGELOLAAN DAERAH ALIRAN SUNGAI (DAS),66672427333,34,2024
3.28.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,589340200,34,2024
3.29.02,PROGRAM PENGELOLAAN ASPEK KEGEOLOGIAN,649884550,36,2024
3.29.03,PROGRAM PENGELOLAAN MINERAL DAN BATUBARA,3461609870,36,2024
3.29.05,PROGRAM PENGELOLAAN ENERGI BARU TERBARUKAN,3651997080,36,2024
3.29.06,PROGRAM PENGELOLAAN KETENAGALISTRIKAN,16394303458,36,2024
3.29.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,339309900,36,2024
3.30.02,PROGRAM PERIZINAN DAN PENDAFTARAN PERUSAHAAN,145461700,35,2024
3.30.03,PROGRAM PENINGKATAN SARANA DISTRIBUSI PERDAGANGAN,1855458850,35,2024
3.30.04,PROGRAM STABILISASI HARGA BARANG Kebutuhan POKOK DAN BARANG PENTING,737239900,35,2024
3.30.05,PROGRAM PENGEMBANGAN EKSPOR,1762323265,35,2024
3.30.06,PROGRAM STANDARDISASI DAN PERLINDUNGAN KONSUMEN,251553750,35,2024
3.30.07,PROGRAM PENGGUNAAN DAN PEMASARAN PRODUK DALAM NEGERI,21625774345,35,2024
3.30.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,3121847182,35,2024
3.31.02,PROGRAM Perencanaan DAN PEMBANGUNAN INDUSTRI,247829900,35,2024
3.31.03,PROGRAM PENGENDALIAN IZIN USAHA INDUSTRI,187048500,35,2024
3.31.04,PROGRAM PENGELOLAAN SISTEM INFORMASI INDUSTRI NASIONAL,1952558175,35,2024
4.01.02,PROGRAM PENATAAN ORGANISASI,1997983536,40,2024
4.01.03,PROGRAM PEMERINTAHAN DAN OTONOMI DAERAH,42984808900,38,2024
4.01.04,PROGRAM KESEJAHTERAAN RAKYAT,2573105900,37,2024
4.01.05,PROGRAM FASILITASI DAN KOORDINASI HUKUM,1686075600,42,2024
4.01.06,PROGRAM PEREKONOMIAN DAN PEMBANGUNAN,2004649200,39,2024
4.01.07,PROGRAM KEBIJAKAN DAN PELAYANAN PENGADAAN BARANG DAN JASA,1736280195,45,2024
4.01.08,PROGRAM KEBIJAKAN ADMINISTRASI PEMBANGUNAN,1736280195,44,2024
