program_id;kode;nama;satuan_kerja_id;anggaran;tahun_kinerja
634;1.03.09.1.01;Penyelenggaraan Penataan Bangunan dan Lingkungan di Kawasan Strategis Daerah Provinsi dan Lintas Daerah Kabupaten/Kota;14;210687250;2026
635;3.29.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;36;515147520;2026
635;3.29.01.1.02;Administrasi Keuangan Perangkat Daerah;36;12288527604;2026
"635;3.29.01.1.03;Administrasi Barang Milik Daerah pada

Perangkat Daerah;36;60067350;2026"
635;3.29.01.1.04;Administrasi Pendapatan Daerah Kewenangan Perangkat Daerah;36;7949100;2026
635;3.29.01.1.05;Administrasi Kepegawaian Perangkat Daerah;36;262158410;2026
635;3.29.01.1.06;Administrasi Umum Perangkat Daerah;36;260328434;2026
"635;3.29.01.1.07;Pengadaan Barang Milik Daerah Penunjang

Urusan Pemerintah Daerah;36;304819407;2026"
"635;3.29.01.1.08;Penyediaan Jasa Penunjang Urusan

Pemerintahan Daerah;36;2115529486;2026"
635;3.29.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;36;550409250;2026
636;3.29.02.1.01;Penetapan Zona Konservasi Air Tanah pada Cekungan Air Tanah dalam Daerah Provinsi;36;332999850;2026
636;3.29.02.1.03;Penetapan Nilai Perolehan Air Tanah dalam Daerah Provinsi;36;173763700;2026
637;3.29.03.1.01;Penetapan Wilayah Izin Usaha Pertambangan Mineral Bukan Logam dan Batuan dalam 1 (satu) Daerah Provinsi dan Wilayah Laut sampai dengan 12 Mil;36;74826050;2026
637;3.29.03.1.03;Penatausahaan Izin Usaha Pertambangan Mineral Bukan Logam dan Batuan dalam rangka Penanaman Modal Dalam Negeri pada Wilayah Izin Usaha Pertambangan Daerah yang Berada dalam 1 (satu) Daerah Provinsi termasuk Wilayah Laut sampai dengan 12 Mil Laut;36;416572500;2026
637;3.29.03.1.04;Penatausahaan Izin Pertambangan Rakyat untuk Komoditas Mineral Logam, Batubara, Mineral Bukan Logam, dan Batuan dalam Wilayah Pertambangan Rakyat;36;38738550;2026
637;3.29.03.1.24;Pembinaan dan Pengawasan Pelaksanaan Izin Usaha Pertambangan;36;91664650;2026
638;3.29.05.1.05;Pengelolaan penyediaan Biomassa dan/atau Biogas dalam wilayah provinsi;36;55009250;2026
638;3.29.05.1.06;Pengelolaan pemanfaatan Biomassa dan/atau Biogas sebagai bahan bakar dalam wilayah provinsi;36;44992050;2026
638;3.29.05.1.07;Pengelolaan aneka energi baru terbarukan berupa sinar matahari, angin, aliran dan terjunan air, gerakan dan perbedaan suhu lapisan laut dalam wilayah provinsi;36;15076610990;2026
638;3.29.05.1.08;Pengelolaan Konservasi Energi terhadap kegiatan yang izin usahanya dikeluarkan oleh daerah provinsi;36;84999300;2026
638;3.29.05.1.10;Pembinaan dan pengawasan pelaksanaan Konservasi Energi yang dilakukan oleh pemangku kepentingan di tingkat daerah provinsi;36;69999550;2026
639;3.29.06.1.01;Penatausahaan Izin Usaha Penyediaan Tenaga Listrik Non Badan Usaha Milik Negara dan Penjualan Tenaga Listrik serta Penyewaan Jaringan kepada Penyedia Tenaga Listrik dalam Daerah Provinsi;36;20000050;2026
639;3.29.06.1.02;Penatausahaan Izin Operasi yang Fasilitas Instalasinya dalam Daerah Provinsi;36;129485800;2026
639;3.29.06.1.04;Persetujuan Harga Jual Tenaga Listrik dan Sewa Jaringan Tenaga Listrik, Rencana Usaha Penyediaan Tenaga Listrik, Penjualan Kelebihan Tenaga Listrik dari Pemegang Izin yang Ditetapkan oleh Daerah Provinsi;36;14999900;2026
639;3.29.06.1.05;Penatausahaan Izin Usaha Jasa Penunjang Tenaga Listrik bagi Badan Usaha Dalam Negeri/Mayoritas Sahamnya Dimiliki oleh Penanam Modal Dalam Negeri;36;40000050;2026
639;3.29.06.1.06;Penganggaran untuk Kelompok Masyarakat Tidak Mampu, Pembangunan Sarana Penyediaan Tenaga Listrik Belum Berkembang, Daerah Terpencil dan Perdesaan;36;10494810536;2026
640;2.22.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;11;1027000000;2026
640;2.22.01.1.02;Administrasi Keuangan Perangkat Daerah;11;11050955945;2026
640;2.22.01.1.06;Administrasi Umum Perangkat Daerah;11;0;2026
"640;2.22.01.1.08;Penyediaan Jasa Penunjang Urusan

Pemerintahan Daerah;11;2322399999;2026"
640;2.22.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;11;0;2026
641;2.22.02.1.01;Pengelolaan Kebudayaan yang Masyarakat Pelakunya Lintas Daerah Kabupaten/Kota dalam 1 (satu) Daerah Provinsi;11;250000000;2026
641;2.22.02.1.02;Pelestarian Kesenian Tradisional yang Masyarakat Pelakunya Lintas Kabupaten/Kota dalam Daerah Provinsi;11;1925000000;2026
642;2.22.03.1.01;Pembinaan Kesenian yang Masyarakat Pelakunya Lintas Daerah Kabupaten/Kota;11;627000000;2026
643;2.22.04.1.01;Pembinaan Sejarah Lokal Provinsi;11;100000000;2026
644;2.22.05.1.01;Penetapan Cagar Budaya Peringkat Provinsi;11;400000000;2026
644;2.22.05.1.02;Pengelolaan Cagar Budaya Peringkat Provinsi;11;800000000;2026
645;2.22.06.1.01;Pengelolaan Museum Provinsi;11;0;2026
646;3.28.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;34;339462000;2026
646;3.28.01.1.02;Administrasi Keuangan Perangkat Daerah;34;59957989507;2026
"646;3.28.01.1.03;Administrasi Barang Milik Daerah pada

Perangkat Daerah;34;126222000;2026"
646;3.28.01.1.05;Administrasi Kepegawaian Perangkat Daerah;34;522167320;2026
646;3.28.01.1.06;Administrasi Umum Perangkat Daerah;34;1985357260;2026
"646;3.28.01.1.07;Pengadaan Barang Milik Daerah Penunjang

Urusan Pemerintah Daerah;34;537875100;2026"
"646;3.28.01.1.08;Penyediaan Jasa Penunjang Urusan

Pemerintahan Daerah;34;4673127979;2026"
646;3.28.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;34;2161957935;2026
647;3.28.03.1.01;Pengelolaan Rencana Tata Hutan Kesatuan Pengelolaan Hutan (KPH) Kewenangan Provinsi;34;0;2026
647;3.28.03.1.02;Rencana Pengelolaan Kesatuan Pengelolaan Hutan kecuali pada Kesatuan Pengelolaan Hutan Konservasi (KPHK);34;243776200;2026
647;3.28.03.1.03;Pemanfaatan Hutan di Kawasan Hutan Produksi dan Hutan Lindung;34;174566000;2026
647;3.28.03.1.04;Pelaksanaan Rehabilitasi di Luar Kawasan Hutan Negara;34;13796724780;2026
647;3.28.03.1.05;Pelaksanaan Perlindungan Hutan di Hutan Lindung dan Hutan Produksi;34;1086969800;2026
647;3.28.03.1.06;Pelaksanaan Pengolahan Hasil Hutan Bukan Kayu (HHBK);34;107200000;2026
647;3.28.03.1.07;Pelaksanaan Pengolahan Hasil Hutan Kayu dengan Kapasitas Produksi <6000 m3/Tahun;34;281040000;2026
647;3.28.03.1.09;Perbenihan Tanaman Hutan;34;616953810;2026
648;3.28.04.1.01;Pengelolaan Taman Hutan Raya (TAHURA) Provinsi;34;280000000;2026
648;3.28.04.1.02;Perlindungan Tumbuhan dan Satwa Liar yang Tidak Dilindungi dan/atau Tidak Masuk dalam Lampiran (Appendix) CITES (Convension On International Trade In Endangered Species) untuk Kewenangan Daerah Provinsi;34;0;2026
648;3.28.04.1.03;Pengelolaan Kawasan Bernilai Ekosistem Penting, Daerah Penyangga Kawasan Suaka Alam dan Kawasan Pelestarian Alam;34;155395000;2026
649;3.28.05.1.01;Pelaksanaan Penyuluhan Kehutanan Provinsi dan Pemberdayaan Masyarakat di Bidang Kehutanan;34;1712685220;2026
650;3.28.06.1.01;Pelaksanaan Pengelolaan DAS Lintas Daerah Kabupaten/Kota dan dalam Daerah Kabupaten/Kota dalam 1 (satu) Daerah Provinsi;34;200500000;2026
651;3.25.01.1.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;31;100000000;2026
651;3.25.01.1.02;Administrasi Keuangan Perangkat Daerah;31;24324756252;2026
"651;3.25.01.1.03;Administrasi Barang Milik Daerah pada

Perangkat Daerah;31;0;2026"
651;3.25.01.1.05;Administrasi Kepegawaian Perangkat Daerah;31;0;2026
651;3.25.01.1.06;Administrasi Umum Perangkat Daerah;31;90750000;2026
"651;3.25.01.1.07;Pengadaan Barang Milik Daerah Penunjang

Urusan Pemerintah Daerah;31;0;2026"
"651;3.25.01.1.08;Penyediaan Jasa Penunjang Urusan

Pemerintahan Daerah;31;7483131100;2026"
651;3.25.01.1.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;31;319367700;2026
652;3.25.02.1.01;Pengelolaan Ruang Laut Sampai Dengan 12 Mil di Luar Minyak dan Gas Bumi;31;105200000;2026
652;3.25.02.1.02;Penerbitan Izin Pemanfaatan Ruang Laut di Bawah 12 Mil di Luar Minyak dan Gas Bumi;31;0;2026
652;3.25.02.1.03;Pemberdayaan Masyarakat Pesisir dan Pulau-Pulau Kecil;31;0;2026
653;3.25.03.1.01;Pengelolaan Penangkapan Ikan di Wilayah Laut Sampai Dengan 12 Mil;31;25574249000;2026
653;3.25.03.1.02;Pengelolaan Penangkapan Ikan di Wilayah Sungai, Danau, Waduk, Rawa, dan Genangan Air Lainnya yang dapat Diusahakan Lintas Kabupaten/Kota dalam 1 (Satu) Daerah Provinsi;31;0;2026
653;3.25.03.1.03;Penerbitan Izin Usaha Perikanan Tangkap untuk Kapal Perikanan Berukuran di atas 10 GT sampai dengan 30 GT;31;0;2026
653;3.25.03.1.06;Penetapan Lokasi Pembangunan serta Pengelolaan Pelabuhan Perikanan Provinsi;31;277951200;2026
654;3.25.04.1.01;Penerbitan Izin Usaha Perikanan di Bidang Pembudidayaan Ikan yang Usahanya Lintas Daerah Kabupaten/Kota dalam 1 (Satu) Daerah Provinsi;31;0;2026
654;3.25.04.1.02;Penerbitan Izin Usaha Perikanan di Bidang Pembudidayaan Ikan yang Usahanya di Laut Sampai Dengan 12 Mil serta Tidak Menggunakan Modal Asing dan/atau Tenaga Kerja Asing;31;0;2026
